Liver,Season,Sex,Age,Flukepa,NoFlukes,Taeniapa,NoBladderworms,Coinfectedpa,DHA,DHA.code,Liver.mass,area.km2,ann.harvest,deer.den,elev,elev.var,wet.mean,open.mean,dev.mean,devtot,decid.mean,evmix.mean,foredge.mean,devlo.mean,devmh.mean,wet2.mean,evmix2.mean,decid2.mean,grasscrop2.mean,devo.mean,intensity.mean,PC1,PC2
L159,2016,F,adult,0,0,0,0,0,10a,m,873,0.6321406,8.6,13.60456835,371.4917323,354.008803,3.322604,26.312064,30.5194218,56.8314858,28.89200665,10.1507571,0.7642905,18.3773,12.1421218,5.961452,28.44913,16.44032,5.1069409,44.042156,31.803363,-2.710107502,-0.336483273
L064,2015,na,na,0,0,0,0,0,10b,n,1146,1.2604951,5.8,4.601366558,395.50659,218.777582,5.571454,11.213071,14.8215483,26.0346193,56.59937173,8.0081251,3.716029,9.920665,4.9008833,4.565832,13.121683,48.72458,4.91517684,28.672729,29.043835,-0.23778541,0.983531075
L065,2015,na,na,0,0,0,0,0,10b,n,733,1.2604951,5.8,4.601366558,395.50659,218.777582,5.571454,11.213071,14.8215483,26.0346193,56.59937173,8.0081251,3.716029,9.920665,4.9008833,4.565832,13.121683,48.72458,4.91517684,28.672729,29.043835,-0.226555537,0.828437427
L125,2015,F,fawn,0,0,0,0,0,10b,n,572,1.2604951,5.8,4.601366558,395.50659,218.777582,5.571454,11.213071,14.8215483,26.0346193,56.59937173,8.0081251,3.716029,9.920665,4.9008833,4.565832,13.121683,48.72458,4.91517684,28.672729,29.043835,-0.22217779,0.767977192
L083,2015,na,na,1,7,0,0,0,10b,n,1604,1.2604951,5.8,4.601366558,395.50659,218.777582,5.571454,11.213071,14.8215483,26.0346193,56.59937173,8.0081251,3.716029,9.920665,4.9008833,4.565832,13.121683,48.72458,4.91517684,28.672729,29.043835,-0.250238877,1.155523546
L094,2015,na,na,1,6,1,6,1,10c,o,1506,1.9593662,15.6,7.961758246,379.5994963,223.4048332,3.640229,19.357147,11.9612952,31.3184422,60.72581608,2.1592114,2.156302,6.407549,5.5537462,3.3033,19.45109,49.1684,4.60110147,23.476106,23.413369,-0.54115457,1.004267432
L164,2016,na,na,0,0,0,0,0,10c,o,720,1.9593662,15.6,7.961758246,379.5994963,223.4048332,3.640229,19.357147,11.9612952,31.3184422,60.72581608,2.1592114,2.156302,6.407549,5.5537462,3.3033,19.45109,49.1684,4.60110147,23.476106,23.413369,-0.519782463,0.709101313
L201,2017,na,na,1,3,1,1,1,10c,o,1136,1.9593662,15.6,7.961758246,379.5994963,223.4048332,3.640229,19.357147,11.9612952,31.3184422,60.72581608,2.1592114,2.156302,6.407549,5.5537462,3.3033,19.45109,49.1684,4.60110147,23.476106,23.413369,-0.531093909,0.865321549
L120,2015,na,na,1,4,0,0,0,11,p,1045,0.5957556,9.4,15.77828224,388.9708628,96.25899013,14.25835,15.940039,21.2707471,37.2107861,32.94943805,15.1338583,0.2508942,11.471268,9.7994791,6.461745,28.551629,34.45017,6.19513298,24.341325,28.245456,-2.380423036,0.306589165
L133,2016,F,fawn,0,0,0,0,0,11,p,778,0.5957556,9.4,15.77828224,388.9708628,96.25899013,14.25835,15.940039,21.2707471,37.2107861,32.94943805,15.1338583,0.2508942,11.471268,9.7994791,6.461745,28.551629,34.45017,6.19513298,24.341325,28.245456,-2.373163046,0.206322812
L134,2016,M,adult,1,3,1,2,1,11,p,1877,0.5957556,9.4,15.77828224,388.9708628,96.25899013,14.25835,15.940039,21.2707471,37.2107861,32.94943805,15.1338583,0.2508942,11.471268,9.7994791,6.461745,28.551629,34.45017,6.19513298,24.341325,28.245456,-2.403045928,0.619029637
L141,2016,na,na,0,0,0,0,0,11,p,655,0.5957556,9.4,15.77828224,388.9708628,96.25899013,14.25835,15.940039,21.2707471,37.2107861,32.94943805,15.1338583,0.2508942,11.471268,9.7994791,6.461745,28.551629,34.45017,6.19513298,24.341325,28.245456,-2.369818556,0.160132695
L160,2016,na,na,1,5,0,0,0,11,p,1132,0.5957556,9.4,15.77828224,388.9708628,96.25899013,14.25835,15.940039,21.2707471,37.2107861,32.94943805,15.1338583,0.2508942,11.471268,9.7994791,6.461745,28.551629,34.45017,6.19513298,24.341325,28.245456,-2.382788651,0.339260224
L183,2017,M,adult,1,16,0,0,0,11,p,2231,0.5957556,9.4,15.77828224,388.9708628,96.25899013,14.25835,15.940039,21.2707471,37.2107861,32.94943805,15.1338583,0.2508942,11.471268,9.7994791,6.461745,28.551629,34.45017,6.19513298,24.341325,28.245456,-2.412671534,0.751967049
L218,2017,F,adult,1,4,0,0,0,11,p,1066,0.5957556,9.4,15.77828224,388.9708628,96.25899013,14.25835,15.940039,21.2707471,37.2107861,32.94943805,15.1338583,0.2508942,11.471268,9.7994791,6.461745,28.551629,34.45017,6.19513298,24.341325,28.245456,-2.380994047,0.314475283
L242,2018,M,fawn,0,0,0,0,0,11,p,716,0.5957556,9.4,15.77828224,388.9708628,96.25899013,14.25835,15.940039,21.2707471,37.2107861,32.94943805,15.1338583,0.2508942,11.471268,9.7994791,6.461745,28.551629,34.45017,6.19513298,24.341325,28.245456,-2.371477205,0.183039989
L258,2018,M,fawn,0,0,0,0,0,11,p,625,0.5957556,9.4,15.77828224,388.9708628,96.25899013,14.25835,15.940039,21.2707471,37.2107861,32.94943805,15.1338583,0.2508942,11.471268,9.7994791,6.461745,28.551629,34.45017,6.19513298,24.341325,28.245456,-2.369002826,0.148866812
L053,2015,na,na,1,2,0,0,0,12b,q,1003,2.9737281,22.8,7.667143476,419.890507,59.424478,17.11999,20.517718,21.7274799,42.2451979,27.64827027,11.5659138,1.323044,13.131982,8.5954979,17.33893,20.457514,25.47081,3.87756384,32.855177,32.614788,-1.62093545,1.011645722
L095,2015,na,na,0,0,0,0,0,12b,q,1251,2.9737281,22.8,7.667143476,419.890507,59.424478,17.11999,20.517718,21.7274799,42.2451979,27.64827027,11.5659138,1.323044,13.131982,8.5954979,17.33893,20.457514,25.47081,3.87756384,32.855177,32.614788,-1.627678812,1.104777017
L099,2015,F,adult,0,0,1,3,0,12b,q,1097,2.9737281,22.8,7.667143476,419.890507,59.424478,17.11999,20.517718,21.7274799,42.2451979,27.64827027,11.5659138,1.323044,13.131982,8.5954979,17.33893,20.457514,25.47081,3.87756384,32.855177,32.614788,-1.623491402,1.046945487
L185,2017,na,fawn,0,0,0,0,0,12b,q,587,2.9737281,22.8,7.667143476,419.890507,59.424478,17.11999,20.517718,21.7274799,42.2451979,27.64827027,11.5659138,1.323044,13.131982,8.5954979,17.33893,20.457514,25.47081,3.87756384,32.855177,32.614788,-1.609624004,0.855425487
L192,2017,F,adult,1,4,1,1,1,12b,q,1324,2.9737281,22.8,7.667143476,419.890507,59.424478,17.11999,20.517718,21.7274799,42.2451979,27.64827027,11.5659138,1.323044,13.131982,8.5954979,17.33893,20.457514,25.47081,3.87756384,32.855177,32.614788,-1.629663753,1.132190664
L208,2017,M,na,1,3,0,0,0,12b,q,1609,2.9737281,22.8,7.667143476,419.890507,59.424478,17.11999,20.517718,21.7274799,42.2451979,27.64827027,11.5659138,1.323044,13.131982,8.5954979,17.33893,20.457514,25.47081,3.87756384,32.855177,32.614788,-1.637413181,1.239216546
L220,2017,F,fawn,0,0,0,0,0,12b,q,538,2.9737281,22.8,7.667143476,419.890507,59.424478,17.11999,20.517718,21.7274799,42.2451979,27.64827027,11.5659138,1.323044,13.131982,8.5954979,17.33893,20.457514,25.47081,3.87756384,32.855177,32.614788,-1.608291646,0.837024546
L221,2017,M,fawn,0,0,0,0,0,12b,q,581,2.9737281,22.8,7.667143476,419.890507,59.424478,17.11999,20.517718,21.7274799,42.2451979,27.64827027,11.5659138,1.323044,13.131982,8.5954979,17.33893,20.457514,25.47081,3.87756384,32.855177,32.614788,-1.609460858,0.85317231
L234,2018,F,na,1,1,0,0,0,12b,q,1216,2.9737281,22.8,7.667143476,419.890507,59.424478,17.11999,20.517718,21.7274799,42.2451979,27.64827027,11.5659138,1.323044,13.131982,8.5954979,17.33893,20.457514,25.47081,3.87756384,32.855177,32.614788,-1.626727128,1.091633487
L249,2018,na,na,0,0,0,0,0,12b,q,618,2.9737281,22.8,7.667143476,419.890507,59.424478,17.11999,20.517718,21.7274799,42.2451979,27.64827027,11.5659138,1.323044,13.131982,8.5954979,17.33893,20.457514,25.47081,3.87756384,32.855177,32.614788,-1.610466924,0.867066899
L250,2018,F,adult,0,0,0,0,0,12b,q,1246,2.9737281,22.8,7.667143476,419.890507,59.424478,17.11999,20.517718,21.7274799,42.2451979,27.64827027,11.5659138,1.323044,13.131982,8.5954979,17.33893,20.457514,25.47081,3.87756384,32.855177,32.614788,-1.627542857,1.10289937
L263,2018,M,adult,1,1,0,0,0,12b,q,1628,2.9737281,22.8,7.667143476,419.890507,59.424478,17.11999,20.517718,21.7274799,42.2451979,27.64827027,11.5659138,1.323044,13.131982,8.5954979,17.33893,20.457514,25.47081,3.87756384,32.855177,32.614788,-1.63792981,1.246351605
